"Prey","Category"
"vegetal fragments","Plant"
"Insect fragments","Invertebrate"
"Sediment","Other"
"Algae","Algae"
"Blattodea","Invertebrate"
"Digested material","Detritus"
"Plant matter","Plant"
"Ephemeroptera nymph","Invertebrate"
"Scale","Fish"
"Trichoptera larvae","Invertebrate"
"Trichoptera pupa","Invertebrate"
"Hemiptera adult","Invertebrate"
"Odonata nymph","Invertebrate"
"Aquatic mite","Invertebrate"
"Hemiptera nymph","Invertebrate"
"Hymenoptera adult","Invertebrate"
"Odonata adult","Invertebrate"
"Phlaeothripidae adult","Invertebrate"
"Trichoptera adult","Invertebrate"
"Insect eggs","Invertebrate"
"Terrestrial Coleoptera","Invertebrate"
"Testate amoeba","Invertebrate"
"Trematoda","Invertebrate"
"Arachnida","Invertebrate"
"Poeciliidae","Fish"
"Auchenorrhyncha adult","Invertebrate"
"Ephemeroptera adult","Invertebrate"
"Psocoptera adult","Invertebrate"
"Aquatic Coleoptera","Invertebrate"
"microcrustacean","Invertebrate"
"Collembola","Invertebrate"
"crustaceos","Invertebrate"
"peixes","Fish"
"insetos","Invertebrate"
"detrito","Detritus"
"detritos","Detritus"
"resto vegetal","Plant"
"ofidios","Other"
"anfibios","Other"
"Fish scales","Fish"
"Vegetable matter","Plant"
"Digested matter","Detritus"
"Sand","Other"
"Fish remaining","Fish"
"Shrimp","Invertebrate"
"Chironomidae (Larvae)","Invertebrate"
"Algae (filamentous)","Algae"
"Mollusk","Invertebrate"
"Acariformes","Invertebrate"
"Trichoptera","Invertebrate"
"Plecoptera","Invertebrate"
"Veneroida","Invertebrate"
"Caenogastropoda","Invertebrate"
"guano + amorphous animal mass","Other"
"undetermined arthropods + insects-entire individuals, wings, abdomen, bristles and antennae + larvae, pupae and nymphs of insects + coleoptera, family Ditscydae, subfamily Hydroporinae (troglobite) + larvae and pupae of dipterans, family Chironomidae + psocopteran insects + aquatic hemipterans","Invertebrate"
"Nematomorpha worm","Invertebrate"
"terrestrial (Oribatida) and aquatic mites (Hydracarina)","Invertebrate"
"Amphipoda","Invertebrate"
"Fish remains","Fish"
"Characidium bimaculatum","Fish"
"Organic matter","Detritus"
"insect remains","Invertebrate"
"Cichlidae","Fish"
"Vegetable remains","Plant"
"Steindachnerina notonota","Fish"
"Debris","Detritus"
"Egg","Invertebrate"
"Seeds","Plant"
"Cyclotella meneghiniana","Algae"
"Ephitemia sp.","Algae"
"Eunotia pectinalis","Algae"
"Fragillaria sp.","Algae"
"Mastogloia smithii","Algae"
"Melosira granulata","Algae"
"Melosira italica","Algae"
"Navicula sp1.","Algae"
"Navicula sp2.","Algae"
"Synedra sp1","Algae"
"Synedra sp2.","Algae"
"Filamentous algaes","Algae"
"Ankistrodemus convolutus","Algae"
"Ankistrodesmus falcatus","Algae"
"Ankistrodesmus spiralis","Algae"
"Chlorela vulgaris","Algae"
"Chrocooccus sp.","Algae"
"Chrocooccus turgidus","Algae"
"Kirchneriella contorta","Algae"
"Scenedesmus quadricauda","Algae"
"Anabaena sp.","Algae"
"Calotrix sp.","Algae"
"Gloetrichia sp.","Algae"
"Lyngbia sp.","Algae"
"Mycrocistis aeruginosa","Algae"
"Oscillatoria sp1.","Algae"
"Oscillatoria sp2.","Algae"
"Planktothrix sp.","Algae"
"Bdelloidea sp.","Invertebrate"
"Hexarthra mira","Invertebrate"
"Keratella tropica","Invertebrate"
"Lecane monostila cornuta","Invertebrate"
"Lecane setenroosi","Invertebrate"
"Platyias sp.","Invertebrate"
"Rotifera unidentified","Invertebrate"
"Tintinidae","Invertebrate"
"Ceriodaphnia cornuta","Invertebrate"
"Diaphanosoma sp.","Invertebrate"
"Diaphanosoma spinulosum","Invertebrate"
"Moina minuta","Invertebrate"
"Remains of Cladocera","Invertebrate"
"Copepod nauplii","Invertebrate"
"Calanoida egg","Invertebrate"
"Remains of Copepoda","Invertebrate"
"Adult Chironomidae","Invertebrate"
"Chironomidae larvae","Invertebrate"
"Chironomidae pupa","Invertebrate"
"Remains of insects","Invertebrate"
"Diploneis sp.","Algae"
"Eudorina elegans","Algae"
"Kirchneriella sp.","Algae"
"Scenedesmus bijugatus","Algae"
"Schroederia setigera","Algae"
"Selenastrum sp.","Algae"
"Spyrogira sp.","Algae"
"Strombomonas sp.","Algae"
"Keratella americana","Invertebrate"
"Cosmarium sp.","Algae"
"Keratella valga","Invertebrate"
"Leptodactylus macrosternum","Other"
"Pleurotaenium ovatum","Algae"
"Sediment/Detritus","Detritus"
"Cyclopoida","Invertebrate"
"Brachyura","Invertebrate"
"Peneidae","Invertebrate"
"Caprella","Invertebrate"
"Tanaidacea","Invertebrate"
"Polychaeta","Invertebrate"
"Larva Diptera","Invertebrate"
"Larva de inseto","Invertebrate"
"Larva Trichoptera","Invertebrate"
"Ninfa Ephemeroptera","Invertebrate"
"Ninfa Plecoptera","Invertebrate"
"Crustacea","Invertebrate"
"Fish","Fish"
"Insect","Invertebrate"
"Vegetable","Plant"
"Foraminifera","Invertebrate"
